fn,bbox
000012.jpg,96 155 269 350
000017.jpg,77 89 335 402
000023.jpg,1 2 461 242
000026.jpg,124 89 211 336
000032.jpg,77 103 182 374
000033.jpg,106 8 262 498
000034.jpg,166 115 399 359
000035.jpg,97 217 317 464
000036.jpg,78 26 343 318
000042.jpg,31 262 294 499
000044.jpg,0 0 329 369
000047.jpg,0 14 311 458
000048.jpg,0 1 499 301
000061.jpg,10 273 278 436
000064.jpg,22 0 499 450
000066.jpg,181 241 258 273
000073.jpg,142 120 459 374
000077.jpg,0 1 332 305
000078.jpg,74 14 411 474
000083.jpg,32 108 308 446
000089.jpg,50 21 290 316
000091.jpg,240 124 283 194
000104.jpg,6 1 332 282
000112.jpg,173 69 327 276
000122.jpg,19 35 473 429
000129.jpg,0 73 461 271
000133.jpg,17 72 499 405
000134.jpg,114 0 329 486
000138.jpg,53 223 331 439
000140.jpg,112 1 400 499
000141.jpg,52 24 398 417
000147.jpg,104 32 145 64
000153.jpg,146 236 190 357
000154.jpg,75 58 265 366
000159.jpg,15 0 332 497
000161.jpg,33 103 389 445
000162.jpg,142 195 368 308
000163.jpg,107 25 395 455
000164.jpg,153 113 347 368
000171.jpg,20 93 490 374
000173.jpg,63 108 463 287
000174.jpg,4 142 332 425
000187.jpg,94 0 335 239
000189.jpg,38 64 345 458
000192.jpg,63 115 374 355
000193.jpg,3 79 374 499
000194.jpg,35 85 223 238
000198.jpg,133 159 238 285
000200.jpg,18 226 248 399
000207.jpg,204 0 319 112
000209.jpg,75 13 374 399
000219.jpg,332 119 463 309
000220.jpg,126 39 291 463
000222.jpg,235 113 374 226
000225.jpg,95 124 262 354
000228.jpg,81 91 227 313
000235.jpg,265 39 374 276
000242.jpg,2 2 286 498
000250.jpg,123 96 296 149
000256.jpg,95 7 231 490
000259.jpg,0 170 360 498
000262.jpg,95 342 195 499
000263.jpg,223 18 322 354
000276.jpg,162 128 318 229
000278.jpg,88 110 374 416
000282.jpg,31 2 373 198
000288.jpg,20 66 277 381
